0.896,0.919,,,,,,,,
3.602,3.723,5.732,5.786,7.474,7.585,,,,
5.826,5.849,,,,,,,,
6.88,6.996,7.308,7.416,,,,,,
1.624,1.748,4.312,4.436,9.02,9.144,,,,
9.328,9.448,9.968,9.996,,,,,,
0.008,0.096,0.976,0.996,6.732,6.86,,,,
1.876,2.004,2.292,2.4,2.54,2.664,2.94,3.064,3.988,4.056
0.44,0.564,,,,,,,,
4.972,5.096,,,,,,,,
0.136,0.264,3.188,3.308,6.524,6.572,,,,
2.688,2.816,3.088,3.216,,,,,,
0.26,0.38,,,,,,,,
8.376,8.5,,,,,,,,
3.576,3.704,,,,,,,,
4.028,4.136,7.66,7.784,,,,,,
3.12,3.24,,,,,,,,
5.688,5.808,5.904,6.016,6.088,6.208,,,,
5.044,5.072,9.296,9.324,,,,,,
1.372,1.48,1.892,1.92,5.964,5.992,,,,
